x,Umin,Umax
0,72,152
1,74,152
2,69,152
3,70,158
4,70,147
5,64,166
6,65,153
7,58,172
8,58,160
9,58,172
10,52,162
11,49,185
12,49,168
13,44,185
14,41,176
15,41,176
16,41,193
17,41,176
18,37,189
19,37,186
20,36,179
21,36,193
22,34,185
23,37,179
24,37,196
25,37,179
26,37,179
27,42,192
28,40,179
