position,u_min,u_max
0,-280,1220
1,-220,1160
2,-240,1100
3,-240,1140
4,-220,1060
5,-240,1220
6,-220,1080
7,-220,1140
8,-240,1140
9,-240,1100
10,-260,1200
11,-220,1120
12,-240,1224
13,-240,1100
14,-220,1220
15,-220,1200
16,-240,1140
17,-240,1100
18,-240,1180
19,-280,1260
20,-260,1180
21,-260,1160
22,-240,1200
23,-220,1100
24,-260,1280
25,-220,1020
26,-220,1040
27,-220,1020
28,-220,1020
29,-220,1040
30,-220,1020
31,-220,1020
32,-220,1000
33,-220,1020
34,-220,1060
35,-220,1040
36,-220,1000
