x,Umin,Umax
0,10,174
1,14,211
2,14,187
3,23,211
4,23,195
5,22,206
6,25,202
7,29,190
8,29,192
9,31,190
10,30,195
11,30,195
12,32,188
13,35,175
14,38,182
15,42,170
16,43,166
17,44,166
18,45,175
19,49,161
20,55,171
21,52,160
22,52,157
23,45,177
24,43,170
25,40,170
26,40,190
27,53,184
28,54,172
29,57,158
30,62,165
31,55,167
32,63,150
33,58,148
